"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"1","Cocktail",NA,"On the rocks; poured over ice","Grated Nutmeg, Cinnamon stick","Pilsner Glass or Tall Glass",NA,"Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.",NA,"1.5oz. 151-proof rum","151 Swizzle","rum"
"2","Cocktail",NA,"On the rocks; poured over ice","Grated Nutmeg, Cinnamon stick","Pilsner Glass or Tall Glass",NA,"Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.",NA,"0.5oz fresh-squeezed lime juice","151 Swizzle","lime juice"
"3","Cocktail",NA,"On the rocks; poured over ice","Grated Nutmeg, Cinnamon stick","Pilsner Glass or Tall Glass",NA,"Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.",NA,"0.5oz. 1:1 Simple Syrup","151 Swizzle","syrup"
"4","Cocktail",NA,"On the rocks; poured over ice","Grated Nutmeg, Cinnamon stick","Pilsner Glass or Tall Glass",NA,"Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.",NA,"6 drops (1/8 tsp) of Pastis, herbsaint, or absinthe","151 Swizzle","pastis herbsaint  absinthe"
"5","Cocktail",NA,"On the rocks; poured over ice","Grated Nutmeg, Cinnamon stick","Pilsner Glass or Tall Glass",NA,"Fill half a tall glass with crushed ice. Add all ingredients and swizzle (or stir with a long spoon) until ice forms on the outside of the glass (approx 8-10 seconds). Top with additional crushed ice.~~~Alternative: Combine liquid ingredients and crushed ice in blender, blend on high 5 seconds. Pour into frosty pre-chilled metallic or tiki mug. Garnish with grated nutmeg and cinnamon stick.",NA,"1 dashes Angostura Bitters","151 Swizzle","bitters"
"6","Cocktail","whiskey","Straight up; without ice",NA,"Highball glass",NA,"Crack an egg into a tall glass, leaving the yolk unbroken. Pour in whiskey. Add Tabasco to taste, or serve on the side.",NA,"3 US fluid ounces (89 ml) whiskey or vodka","Amber Moon","whiskey  vodka"
"7","Cocktail","whiskey","Straight up; without ice",NA,"Highball glass",NA,"Crack an egg into a tall glass, leaving the yolk unbroken. Pour in whiskey. Add Tabasco to taste, or serve on the side.",NA,"1 raw egg","Amber Moon","raw egg"
"8","Cocktail","whiskey","Straight up; without ice",NA,"Highball glass",NA,"Crack an egg into a tall glass, leaving the yolk unbroken. Pour in whiskey. Add Tabasco to taste, or serve on the side.",NA,"Tabasco sauce, to taste","Amber Moon","tabasco sauce  taste"
"9","Mixed drink","vermouth","On the rocks; poured over ice","half an orange slice, lemon twist","highball glass","3 cl Campari","Pour the Campari and vermouth over ice into a highball glass, add a splash of soda water and garnish with half orange slice and a lemon twist.","Before dinner",NA,"Americano","campari"
"10","Mixed drink","campari","On the rocks; poured over ice","half an orange slice, lemon twist","highball glass","3 cl Campari","Pour the Campari and vermouth over ice into a highball glass, add a splash of soda water and garnish with half orange slice and a lemon twist.","Before dinner",NA,"Americano","campari"
